wd_id,osm_relid
http://www.wikidata.org/entity/Q155,59470
http://www.wikidata.org/entity/Q174,298285
http://www.wikidata.org/entity/Q175,298204
http://www.wikidata.org/entity/Q1000437,334618
http://www.wikidata.org/entity/Q1000671,296570
http://www.wikidata.org/entity/Q1001470,242695
http://www.wikidata.org/entity/Q1003392,334565
http://www.wikidata.org/entity/Q1003396,334384
http://www.wikidata.org/entity/Q1003399,362372
http://www.wikidata.org/entity/Q1003402,334517
http://www.wikidata.org/entity/Q1003407,334607
http://www.wikidata.org/entity/Q1003412,334446
http://www.wikidata.org/entity/Q1003417,334521
http://www.wikidata.org/entity/Q1003419,334528
http://www.wikidata.org/entity/Q1003423,314628
http://www.wikidata.org/entity/Q1003429,298459
http://www.wikidata.org/entity/Q1003435,334557
http://www.wikidata.org/entity/Q1003438,334482
http://www.wikidata.org/entity/Q1003443,334415
http://www.wikidata.org/entity/Q1003447,334498
http://www.wikidata.org/entity/Q1003452,334451
http://www.wikidata.org/entity/Q1003456,297895
http://www.wikidata.org/entity/Q1003462,334559
http://www.wikidata.org/entity/Q1003468,334449
http://www.wikidata.org/entity/Q1003473,297506
http://www.wikidata.org/entity/Q1004078,334514
http://www.wikidata.org/entity/Q1004221,334456
http://www.wikidata.org/entity/Q1004229,301423
http://www.wikidata.org/entity/Q1004891,334532
http://www.wikidata.org/entity/Q1004897,302501
http://www.wikidata.org/entity/Q1004912,334611
http://www.wikidata.org/entity/Q1004916,334597
http://www.wikidata.org/entity/Q1005931,2217381
http://www.wikidata.org/entity/Q1005942,303898
http://www.wikidata.org/entity/Q1006367,332877
http://www.wikidata.org/entity/Q1008188,332784
http://www.wikidata.org/entity/Q1008198,185586
http://www.wikidata.org/entity/Q1008207,334524
http://www.wikidata.org/entity/Q1008215,362261
http://www.wikidata.org/entity/Q1008223,242629
http://www.wikidata.org/entity/Q1008230,303656
http://www.wikidata.org/entity/Q1008236,334507
http://www.wikidata.org/entity/Q1008242,185618
http://www.wikidata.org/entity/Q1008259,303719
http://www.wikidata.org/entity/Q1008266,297510
http://www.wikidata.org/entity/Q1008278,302626
http://www.wikidata.org/entity/Q1008285,332490
http://www.wikidata.org/entity/Q1008292,334574
http://www.wikidata.org/entity/Q1008300,332851
http://www.wikidata.org/entity/Q1008311,297469
http://www.wikidata.org/entity/Q1008317,334404
http://www.wikidata.org/entity/Q1008326,334479
http://www.wikidata.org/entity/Q1008332,334483
http://www.wikidata.org/entity/Q1008338,301307
http://www.wikidata.org/entity/Q1008345,334539
http://www.wikidata.org/entity/Q1008360,334588
http://www.wikidata.org/entity/Q1010299,296609
http://www.wikidata.org/entity/Q1010498,362350
http://www.wikidata.org/entity/Q1012531,326260
http://www.wikidata.org/entity/Q1012541,334440
http://www.wikidata.org/entity/Q1012546,368778
http://www.wikidata.org/entity/Q1012550,242487
http://www.wikidata.org/entity/Q1015780,2217375
http://www.wikidata.org/entity/Q1016643,185596
http://www.wikidata.org/entity/Q1017101,332783
http://www.wikidata.org/entity/Q1019640,332903
http://www.wikidata.org/entity/Q1020408,296779
http://www.wikidata.org/entity/Q1020414,296713
http://www.wikidata.org/entity/Q1022432,314935
http://www.wikidata.org/entity/Q1022458,334616
http://www.wikidata.org/entity/Q1024894,334016
http://www.wikidata.org/entity/Q1025753,334493
http://www.wikidata.org/entity/Q1025757,297557
http://www.wikidata.org/entity/Q1025760,332523
http://www.wikidata.org/entity/Q1025764,334573
http://www.wikidata.org/entity/Q1025767,334585
http://www.wikidata.org/entity/Q1025769,334580
http://www.wikidata.org/entity/Q10262437,1901921
http://www.wikidata.org/entity/Q1026376,297764
http://www.wikidata.org/entity/Q1026722,3049352
http://www.wikidata.org/entity/Q10273672,3049441
http://www.wikidata.org/entity/Q10280974,1757121
http://www.wikidata.org/entity/Q10285869,3049442
http://www.wikidata.org/entity/Q10290864,2715905
http://www.wikidata.org/entity/Q10292354,3049443
http://www.wikidata.org/entity/Q10292450,1757122
http://www.wikidata.org/entity/Q10295699,1757047
http://www.wikidata.org/entity/Q10301129,2849007
http://www.wikidata.org/entity/Q10301288,2849010
http://www.wikidata.org/entity/Q10304155,3049445
http://www.wikidata.org/entity/Q10304645,1692134
http://www.wikidata.org/entity/Q10304895,3049354
http://www.wikidata.org/entity/Q10305357,3049446
http://www.wikidata.org/entity/Q10305714,3049447
http://www.wikidata.org/entity/Q10306135,3032210
